genre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
00s,0.038059928538728284,0.10558480702692517,0.32707470333165445,0.13251551325686342,0.16394454887284649,0.35280446421406186,0.06865630167822535,0.15587193741550812,0.009771302793054227,0.03963220188614605,0.17819656754414415,-0.06591614344886898,0.3411784780143752,0.1861282637400853,0.0002805456929647305,0.17298107919881395,0.24054236354505004,0.07349131388956938,-0.008971151848966538,0.5080180549784518,-0.3005081600733367,0.4178975596605629,0.08454791260526813,0.011860615581950281,-0.1000104971944056,0.293567373237255,0.24030068394053625,-0.012395428112315853,0.09578293565661733,0.0592026803791126,-0.2121062909552203,0.3147496033864231,0.15247672738564877,-0.017400165962482613,0.12591246818716254,0.08258613102725318,0.0043493954866205,-0.09644921728162419,0.2783393723191734,-0.22522249207682135,-0.07257917700158044,0.14943012191744384,-0.17841719641327153,0.05042477852778169,-0.2692028752504205,0.33437663541816287,0.017103784057643616,-0.0948829033311803,0.07907407354676498,0.09276112378528013,0.12922494281818842,-0.04417207652017315,-0.04875603136805941,0.2713429105788356,0.2044029501023289,0.09962427849467834,0.012672297431146047,0.18829842317613132,0.0721620722760215,0.01878382105994627,0.13529415219596136,-0.07286189926348953,0.01622866363058696,0.23220425169856188,-0.09674155286232893,0.16163382397391596,0.4184105724779207,0.09871407418851486,0.15308646664246114,0.27072666104399423,-0.08486523919205169,0.09030397902002034,0.09731590006112092,-0.03901183213685206,0.15629732547207045,0.15647691737183803,0.015845454678767915,0.29453636180922055,0.11375733989730123,0.4427719205532208,0.07574222693104256,0.018728199671735477,0.37421682286857283,0.08321331139412588,0.21826609757442328,0.2791685120487783,-0.12135583982479664,0.218599983179852,0.033684897665456535,0.05045084435713246,-0.010556926197400293,-0.034218307051549844,-0.13233458073443352,0.04825534883735651,0.22149889633292957,0.30281374985253223,-0.051959714826450905,0.3584104015198061,0.3827768032376942,-0.03009901121078287
60s,0.0388501595063752,-0.020164246719306837,-0.06485002052602544,-0.445999579667558,-0.06402358574366296,0.1415456567087917,-0.18595132121844196,0.21627182484801272,-0.37444485780392683,0.04307166543745628,0.18701065176065182,-0.14320039564469952,-0.08559667382605723,0.15015731822786962,0.007527618587179652,0.19969704636310015,0.222111942007297,0.0638755336522051,0.02591976239909459,0.039849613786820344,-0.0671846314300795,-0.2619183730784213,0.00015016591541335537,-0.08076465957348966,-0.07690023993659778,0.19905386545559617,0.20081971862639109,0.07778733810956598,0.04147446750862321,0.08469625767742607,-0.14754037146386806,0.15402666788988872,0.010925105272400634,-0.11527316945701907,-0.19267573659310017,0.1900349562731574,0.1295640113703116,-0.039831842679475364,0.26608286284008587,0.14037564736432434,0.11580181878494436,0.20856446437755324,0.07055930503909125,-0.06380578554737679,-0.08216916319497344,-0.03816266634475199,0.08510002707343402,-0.10042906447284579,0.005950245026295704,0.28447730075392685,-0.10105846679424801,0.32744649706128776,0.03269211846378379,0.11797292494616375,0.2256356050588871,0.07321257923255961,-0.2056042698614415,0.04009624142926073,0.19856626712864864,-0.07157593863874562,-0.18552698891812403,0.007252397605961846,-0.09741826749282988,0.08898180122248013,-0.019275723380346582,0.11748480509513355,0.2841465834226868,0.08422093363884102,-0.019332638565813198,0.31805790970001907,0.18143972745541176,-0.1583887674278458,0.14483356519476628,0.006164786283386328,-0.05169234012059141,0.16737701901982513,0.1200570204223132,0.06472612309048331,0.2772963134664197,0.06040248888881558,0.05189789928915738,0.22858312134896183,0.21199010870047696,-0.027980208768688394,0.05066613776265501,-0.0717398244312973,-0.008109934168089031,-0.016510364342972973,0.07335249496676628,-0.008174657982201907,0.06819918821163594,-0.13412532654849604,0.1506712573741558,-0.046763561841469,-0.06425091997470271,-0.15612260106523052,-0.0220513205936248,0.06371332763581876,-0.10008593696950238,0.044411796614594594
70s,0.1103068754354532,-0.07344480437048395,0.06977235771477273,-0.21339503061359627,0.03713159478279946,0.10289477875262033,-0.09326428999326204,0.08830879559276068,-0.34553577129098934,0.002000323070053473,0.17974202865308156,-0.01284353897970722,-0.012118899467352938,0.1733084956490508,0.11235799089789975,0.09530183375986633,0.20251359999721794,-0.09691865295436898,-0.06278449273522727,0.017184449803653436,-0.006433394845414439,-0.17256635327175135,0.07997864625143049,-0.010017602300494649,-0.011000486774478607,0.15619328100136362,0.10515281936794117,0.12600029543144384,0.11452789340425135,0.028455430764962562,-0.1417978214343984,0.21391045920532087,-0.07463770489172594,0.05586658872578878,-0.15265081175185563,0.1911103719938155,0.21693259894260697,0.03824834424979278,0.33431342915725937,0.180040042367104,-0.013672798405486632,0.1368048208987567,0.07302060815382086,-0.11576725454905615,-0.0693223009514746,0.018859620119772724,0.053486416312411765,-0.14786344924619518,-0.17455479711092511,0.32254134359270964,-0.08137719623526737,0.1661720725055401,0.136439458048623,0.19144103398765108,0.143876746058123,0.07255819257052808,-0.07498346928889037,0.17405842091482487,0.08437099006074866,-0.17324634768031416,-0.10245867061923797,-0.008094935443040106,-0.0465561203935762,0.05239951423911363,0.09716711286140374,0.09787955196644384,0.15078241856553476,0.01795681457382353,-0.04888661261803476,0.43110527219021527,0.15250130210036097,-0.13211925000494384,0.09590114470812433,-0.04625815541154145,-0.020107125476189844,0.19353053484348928,0.04337738090050267,0.22079234367959893,0.4087799426301778,-0.16109616890360962,0.06427088292293984,0.21248257882079144,0.3206724533296925,0.1208264795963115,0.1507374396604567,-0.08699620570776204,0.16615145745405346,-0.05264383714245855,0.042084991665835556,-0.10208898335019412,-0.07507641821483423,-0.06909255181462834,0.03821806502998797,-0.08835441995679011,-0.1751373533748262,-0.11374430249703209,0.12442173198160428,0.06791955960132354,-0.03646162394407754,-0.054701914710026736
80s,0.10613756366068966,-0.02821310691368718,0.4403085108994343,0.16616713542764824,0.08039430705402996,0.2417287400972193,0.0712250898026083,-0.15071959455959327,-0.17726765462937227,-0.004611940184239623,0.164066349537047,-0.11581131699263035,0.03208475152864008,0.03814034324553466,0.29499310179866495,-0.26727928892629793,0.07165814703399657,-0.2808511413268954,-0.0015793973841548665,0.21402041532794336,0.13710949644824041,-0.06997643898181605,0.15378283181214783,0.05804585731452711,0.012481062422471224,0.2859552260360196,0.3176123245573653,0.0950376849141867,-0.037243481045693846,-0.0007682770835076876,-0.034238199178549124,0.26002811393110076,-0.011973461514147108,-0.1356050048669674,-0.20598354653873838,0.09492277662574666,0.19711182109559353,0.056218855780098276,0.10425383935539367,0.06770886944353664,0.11740940271826684,0.1683819273435633,0.021771861673178575,-0.23054869196860311,0.04109143382046854,0.05794997522693488,-0.0462482456553315,-0.0005195511171352735,-0.3725344738183519,0.2729283555763155,-0.08505157743312101,0.20342737608636616,0.18059054528099447,0.007965736419460542,0.04965625334638438,0.11564812879842894,0.015182041293492576,0.26309607600368723,-0.07378803399950425,-0.2557093061061868,-0.11858870577736987,0.26399776344954584,0.07995534675841709,0.1403022862570956,0.062203631141551134,0.22941975552710003,0.2022553448748178,0.020388663549494215,-0.0495985860165607,0.31690531365659846,0.11408620080077804,-0.03651423439852325,-0.01512499731369052,-0.08802767398994703,0.12499783676212212,-0.0027200467043060972,-0.06695242927223506,0.31123368965892095,0.2472188789552766,-0.12738819251204278,0.16860385607764283,0.1285334844822598,0.27743507853935817,-0.038587696375394505,0.26779352443988685,-0.0970140111821696,0.4811120787164388,-0.10719031416291756,0.034875896400861264,0.06287633703527552,-0.10898277524768349,0.2178532633070696,-0.0428803872646771,-0.19579738076335876,-0.0853219395232457,-0.11678870198271447,0.2267854148347533,-0.03374026268435891,0.04558716452926189,-0.1593159982607801
90s,-0.06574204330013589,0.012485873222270932,0.19684646919047524,0.013906768281570397,-0.1509706251457231,0.21908809429533196,0.009334917402805704,-0.05028931671751603,-0.1157435462323852,0.020735233246502435,0.22965531258994296,-0.2955233782889221,0.016398095889020286,-0.0016408347528633063,0.11844568492632009,-0.07115057757749563,0.23773270432353397,0.13364163599462972,0.1629627801812124,0.3288987188554501,-0.23201966655534567,0.03614403133321299,-0.029522156018884586,-0.08178804801058581,0.2848918182209363,0.018178553406553596,0.6281246204399931,-0.11575798607089147,0.12492000615745302,0.1639952097947794,0.03327548760449612,0.36442502107710534,-0.02963154001071981,-0.1598092081976145,-0.027494569217783576,-0.0064678178661152965,0.04324093755437918,0.07594978254339126,0.027498850053306524,0.22216650690278356,-0.03502873540549744,0.2449128559909082,0.11579184621120944,-0.026320074724278292,0.01973522336266216,0.25317346003065333,0.06140659310444281,0.01883398674761465,-0.33362869405921386,0.009483512998285181,-0.06604898291294563,-0.14162140943395857,0.077306245522232,0.16521663817155338,-0.026098335318128114,0.18949015825473683,0.3154948615556603,0.4903660502147622,0.0809205083893208,-0.05867753102564648,-0.12291318381344998,0.22950931063283506,0.23040963751702048,0.08223170503789355,-0.10028620022244504,0.2838475678739475,0.26882529457822585,0.1325180252680671,0.039299383040622214,0.27314959474811573,-0.018649367097807224,-0.12601978760665364,0.1220069699107182,-0.1483725571388455,0.05694053475996262,-0.12549441197796252,0.40962711770101873,0.13264930811671924,0.1802645223444423,0.09723188537734993,0.11671580223360092,-0.09375140073785206,0.09710905379974293,0.11240768058663825,0.23443641187837477,0.12041908483967736,0.13910768373731647,0.19165749421031802,0.1441268477879286,-0.15322310964810856,0.29060741264764856,0.23272065580090834,-0.019477621892631542,-0.12612304083017423,0.105108209752434,0.21988961268935495,-0.063819121325,0.16118340106644646,0.056362841026400434,0.053663478613124094
acoustic,-0.2192723503799845,0.13943668257503603,0.31273128425362345,-0.09417352623538845,0.3599494076745334,0.31525040483918665,-0.13374613617944311,0.43063236850883674,0.1698882771658114,0.006659837065702058,-0.0438278790574934,0.30171801428476064,0.2597630507682769,-0.08887871628528626,-0.20582323747854508,0.030565105395161406,0.3733957906374901,-0.04107643216787459,0.2605937932605176,0.5694031750651765,-0.238940362559021,0.1278950916593882,0.1580697452399372,0.07865470147606182,0.04911346557183767,0.3162385755568627,0.2919758152284077,0.07566959711254642,0.11356822523036073,0.18370391730776478,0.032928425435290065,0.13751912467792962,-0.016629389044776382,-0.23921687195266428,-0.19481578206632935,0.3556464998839842,0.026356699075499427,0.04250356478973489,0.4012996488652548,-0.082563445970753,-0.28824158773719993,0.13539778806760774,-0.1851443781549334,-0.2786279459753646,-0.26421592414056005,0.1081036416322232,0.35839412502265083,-0.15780232653747137,-0.09451390899927047,-0.06879879596191728,-0.14792555697571924,-0.040711974590032195,-0.07327280819425092,0.0058199758882902285,0.3976013350984943,0.4740368706385804,0.1599906059972658,0.3066670131445254,-0.026723145954431385,-0.15790305797205473,-0.09089337094777489,0.20796959128502723,-0.0943200828335569,0.051044419751811794,0.30411101195176216,0.11771157254354106,0.17419047449019603,0.2796152629717019,-0.06516237911747454,0.28090685802722365,0.2495701985395654,0.15440274596109016,0.12117746601484394,-0.016207849809476902,-0.06103135307401581,0.11560971150210222,0.34659276086706353,0.29933370851680025,0.027354598966619705,0.03651457389276874,-0.14508206788812014,0.06750232321685341,0.24385048866414505,-0.07857804891009412,-0.012002656847325465,0.3054091211416234,-0.10537443735969813,0.08901507006591758,-0.03665025025559214,0.23102356734453733,0.2166678308631122,0.09877591442934913,0.14223238787784703,0.5304475105134197,0.09294765486368636,0.10524562064268242,-0.02476738473914444,0.13515302242591518,0.10375440143917083,0.08866888835033424
alternative,-0.017111460246877045,0.0853166830779287,0.14248443886400897,0.13833862789451196,0.1587237490680881,0.24954869725898676,0.06508305194669134,-0.003765502195686496,-0.08934603850335744,0.14759348107087164,0.22823952477129922,-0.05966015112697037,0.23961653037967554,0.011129797445538003,0.008547504723136501,-0.018045284629161565,0.1690852680678513,0.023751609391539696,0.1075127194774731,0.37943192845922963,-0.28773387833494085,0.08495772791535185,0.09199895592694227,0.014713334026288744,-0.10492228575291428,0.09592263167040027,0.31678231757751896,-0.018500558935088517,0.007844393183571097,0.0015282348840892814,0.035478591650531244,0.27063295127541803,0.14866074896033254,-0.08094277542687105,0.07991990359435897,-0.0030753654879303355,0.026860813766862435,0.05445492006433557,0.11334722056279302,0.058778822050119466,-0.08800056732548056,0.1888170695964818,-0.03282352864649632,0.11480038706448069,-0.15740549291809836,0.2629272220401485,0.17973312356363816,0.04145637590250593,-0.01296061819189524,0.121856654924181,-0.07813462550321087,-0.06585906124487036,-0.06443603962081258,0.14140873723457428,0.18015030122979725,0.14459676941328245,0.16617466690301244,0.2824087337956501,0.11328356504184797,0.0199928923496,-0.052247350130721626,0.04314578496031049,0.08019226297940783,0.06862323493176492,-0.055139879211297815,0.17568232563273284,0.32877071339017017,0.11341488463076485,0.1240751743990114,0.1733041004705872,0.05139870582543701,0.023507847843593152,0.06112495265578161,-0.1503878487093348,-0.0026905953439184463,0.017099320768204983,0.11059326929287307,0.23442837943426376,0.15904030264184316,0.24948225239466842,0.005040082176271568,0.09261773781613862,0.17468588279287184,0.02558895041241028,0.19577654094930722,0.1585100896733505,-0.017341726195083642,0.060698362741291874,0.12548492839950523,-0.1232232326786504,0.1990914102379643,0.01543731767576886,0.01134396791841046,-0.03429985631805276,0.1545369466743784,0.13640880367920719,-0.04045022363640155,0.12091291294158059,0.27725135038163967,-0.04009127730215134
alternative_rock,0.05455632885678346,0.039888670282592055,0.06333722736679652,0.12662177724522408,0.027806472468037174,0.21324269174990793,0.15111021946287856,0.001683129877009652,-0.16685800756022556,0.03792398415483506,0.2515659724096323,-0.051420684094326555,0.19187234576490797,0.020128183556385276,-0.05007689135296711,-0.0040652235394626765,0.06885622341106318,0.010037193579742788,0.13075261325596507,0.41648745153011896,-0.3422114436983267,-0.006001073371737365,0.11747517499382867,-0.006572305404876085,-0.1642028044501815,0.06285120835065183,0.44343575605464425,0.02406424054947454,-0.0016564466468823266,0.008505099997302418,0.05312899878982759,0.21376011749317364,0.23665920779738636,-0.0338927923375677,0.24392461091327391,-0.128836947948171,0.12292673562282908,0.08806753313364275,0.08940301265155767,0.11070850584865853,0.026688489910844798,0.1630904405831044,0.10538920710972083,0.17446408795966997,-0.16798852591473737,0.13740023003504168,0.23154896872309225,0.05514421761668536,0.04050632798829377,0.0847735378591128,-0.009524910758173483,-0.13298260926594474,-0.0330451211185751,0.04848048207501629,0.030314576157194448,0.0369033751410277,0.17563886878894505,0.3496890084365245,0.05726382452755265,0.03632443496770998,0.024406388464829093,0.014460875749442024,0.2575887614746816,-0.0773453110017184,-0.137439276668063,0.1500345487872749,0.2166433034340518,0.06930502949853343,0.09804428196665388,0.29088745918590436,0.08856391298305095,-0.00018893069705866304,0.17124153627650193,-0.1351898361762532,0.045214608551184976,0.015808390164355993,0.25245749989031463,0.19847270954836255,0.14395297051706468,0.3071621178204172,0.02079820415143738,0.10842699701675594,0.25266875663616256,0.055780358742340476,0.23776677061579457,0.21744047151229898,-0.004208340170382678,0.06634028806108977,0.16254531891136767,-0.23877793617752335,0.26356503163977557,0.07499781560590123,-0.042992488375862004,-0.10243739082826948,0.11006620114918449,0.23910745560304553,-0.03901997395465755,0.06573205601514388,0.32109427957773745,-0.07922455619903916
ambient,-0.07426092156042494,0.12017380741764094,-0.12918548745308564,0.4430772437496017,0.19315452391654186,0.5143016250412727,0.1459366778846474,-0.18942489896007295,-0.11362391089026602,-0.07716155462057421,-0.013634478518450385,0.051348649493466215,0.16435370622880835,-0.1870715003749854,0.2672646770117137,0.3529110389045926,-0.07637078386152678,0.2404047818629994,0.01471918058176558,0.22612208731358469,0.031630771558104745,-0.06751182128543269,-0.2178608307339951,0.13943614386859338,0.01641737899094779,0.10739927460314691,-0.042977341401591325,-0.14296975106539522,0.06245896087158526,-0.04654760269537121,-0.053576391737770616,0.1762316008748859,-0.13089058217779526,-0.022225164846972616,-0.038721219138889366,0.16229840904465873,-0.017813151014688826,0.05030254719693565,0.17651874069238346,-0.11713465605635734,-0.0674867215242873,0.2227491698505591,-0.18526971888808338,-0.08176548093753823,-0.18727743491576956,0.3567277502600947,-0.14103496962138057,0.17683574810822253,-0.0007139235059169898,0.001826036561671863,0.01965834104792238,0.20288190937047093,0.051775068685701885,-0.12637043263236564,0.17914061827480132,0.17594162457726129,0.00809808365671997,-0.006017901556493335,0.058338707761311205,-0.2203985693697103,-0.23126501910228195,0.3501932580999843,-0.08724221410167798,-0.021643021689199352,-0.011814428161268929,-0.009087686779452214,0.09465297853354865,-0.2007859454858962,0.02369734758814729,0.27095633126076507,-0.06253015580733542,-0.03255457248227896,0.13413762849246808,-0.14294544945990742,-0.29823987104928806,0.13132593093997674,0.1747061216177862,-0.13334929767734083,0.04207755213302964,-0.19458063657022326,0.11721866742254808,0.2777989377588151,0.08917749178963101,0.054075359816874335,0.2546027331225147,0.2369837651751738,0.11512308941440855,0.20360134511689912,0.02429709712685241,-0.22697150750864578,-0.18192137849294507,0.09952637989298735,0.16456797053921068,-0.0018880302393270909,0.35230166941708796,-0.05922405563975873,0.0028645010315087025,0.1342513310725532,0.11829213806516632,0.15518096642120105
american,0.10445585052179011,0.03796638884091355,0.32933639433548156,-0.10607583070013583,0.16134488253754936,0.29966741580206174,0.08900618522159275,0.2318641983115711,0.15082352790324688,0.13056459065387646,0.19843706888443569,-0.05807576807277822,0.21773039515008924,0.04308202753834565,-0.03161682921216055,0.24499919397151865,0.27456953533718015,0.01864453187277767,-0.08134389361640752,0.4215316352683409,-0.14366786110937688,0.1283606250732594,-0.013321427797382629,0.14940136163126053,-0.25219798654605957,0.18328865248175313,0.14932281045296303,-0.006162114874654396,0.04750406717712349,0.15237287524847531,-0.25609350016507404,0.29129936487420105,0.11342085888362965,-0.18975138938532088,0.29602923896890243,0.09743388584961497,0.07910580712417611,-0.08038105041335439,0.16747612575530876,-0.07285336656592688,-0.21093621191184578,0.21591594930517288,0.0028824549992035615,-0.08309672286100002,-0.25602003544093827,0.2686583734220493,0.052188843079370245,0.031209213297634535,0.04044287627353085,0.09286278896680246,-0.06494536114517274,-0.05635297557140013,-0.0964184923879753,0.20420461474174073,0.13218975385903334,0.13251605233871921,0.0004805454648568292,0.35434545929608635,0.04144292318161725,-0.1126099934594692,0.081726167370963,-0.029809214691439666,0.11629333229271097,0.2224062557012765,-0.04182584986954327,0.18838506329141982,0.26738297805378525,0.040384919668391445,0.18233585500090121,0.2571742719717532,0.012685492567716165,0.23458293610863945,0.056476061621209876,0.01737669583911115,0.10052058763027161,0.1802877940610259,0.04294641979089263,0.24894932920628385,0.10510392378837022,0.2591780147579809,-0.05277498456344066,-0.033632437423903684,0.29711360748317306,-0.016123220367296343,0.09123085732799999,0.19460399627917283,-0.08377318533423464,0.1621528359530543,0.08611158187683952,-0.10183733335559736,-0.006633118792874152,0.014980678899308465,-0.15012527735135808,0.07753056597889492,0.0870615915739303,0.1331050699232049,-0.14061678749807405,0.3887314178329705,0.21745738185520988,0.1083159420989173
